"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","887","should not login with empty spaces in credentials","Login","2026-08-24","passed","2026-08-24","","when input format is invalid","",""
"","852","should not login with invalid password","Login","2026-08-24","passed","2026-08-24","","with invalid credentials","",""
"","704","should not login with invalid username and password","Login","2026-08-24","passed","2026-08-24","","with invalid credentials","",""
"","594","should not proceed to step 2 and show first name error when all fields are empty","Checkout Step 1 - User information","2026-08-24","passed","2026-08-24","","when required fields are missing","",""
"","1159","tax should be equal to 8% of subtotal","Checkout Step 2 - Order Review","2026-08-24","passed","2026-08-24","","when accessing the review step","",""
"","1277","should display the correct number of products","Catalog","2026-08-24","passed","2026-08-24","","when catalog loads","",""
"","2539","should complete purchase and redirect to confirmation page","Checkout Step 2 - Order Review","2026-08-24","passed","2026-08-24","","when accessing the review step","",""
"","1841","should logout from catalog page and redirect to login page","Logout","2026-08-24","passed","2026-08-24","","Succesfull logout","",""
"","653","should invalidate session and cookie after logout","Logout","2026-08-24","passed","2026-08-24","","Succesfull logout","",""
"","529","should not login with empty username","Login","2026-08-24","passed","2026-08-24","","when required fields are missing","",""
"","979","should not proceed to step 2 and show error when postal code is missing","Checkout Step 1 - User information","2026-08-24","passed","2026-08-24","","when required fields are missing","",""
"","871","should not login with uppercase credentials","Login","2026-08-24","passed","2026-08-24","","when input format is invalid","",""
"","476","should display multiple added products in cart","Cart","2026-08-24","passed","2026-08-24","","when products are added to cart","",""
"","182","should not login with empty username and password","Login","2026-08-24","passed","2026-08-24","","when required fields are missing","",""
"","294","should display correct data for every know product","Catalog","2026-08-24","passed","2026-08-24","","when catalog loads","",""
"","1442","should login with valid user","Login","2026-08-24","passed","2026-08-24","","with valid user","",""
"","5259","it not allow entering Last Name, not advancing to checktou step 2","Checkout - known bugs","2026-08-24","failed","2026-08-24","","when the problem_user fills checkout step 1 information","",""
"","794","should not allow access to protected routes after logout","Logout","2026-08-24","passed","2026-08-24","","Succesfull logout","",""
"","915","should not login with locked out user","Login","2026-08-24","passed","2026-08-24","","when user has restrictions","",""
"","2436","should advance to step 2","Checkout Step 1 - User information","2026-08-24","passed","2026-08-24","","when filling fields and submitting the form","",""
"","552","should remove product when clicking Remove button","Catalog actions","2026-08-24","passed","2026-08-24","","when products are removed from cart","",""
"","485","it should remove item from cart","Cart","2026-08-24","passed","2026-08-24","","when removing products from cart","",""
"","988","should not proceed to step 2 and show error when last name is missing","Checkout Step 1 - User information","2026-08-24","passed","2026-08-24","","when required fields are missing","",""
"","337","should display img, name, description, price and button for each product","Catalog","2026-08-24","passed","2026-08-24","","when catalog loads","",""
"","629","should not login with blank spaces in credentials","Login","2026-08-24","passed","2026-08-24","","when input format is invalid","",""
"","347","should display correct quantity of products in carts badge","Catalog actions","2026-08-24","passed","2026-08-24","","when products are added to cart","",""
"","532","should keep products in cart after page refresh","Cart","2026-08-24","passed","2026-08-24","","when cart state changes","",""
"","1307","should not login with invalid username","Login","2026-08-24","passed","2026-08-24","","with invalid credentials","",""
"","968","should not proceed to step 2 and show error when first name is missing","Checkout Step 1 - User information","2026-08-24","passed","2026-08-24","","when required fields are missing","",""
"","1805","should display selected product in cart","Cart","2026-08-24","passed","2026-08-24","","when products are added to cart","",""
"","1181","total should be equal to item total plus tax","Checkout Step 2 - Order Review","2026-08-24","passed","2026-08-24","","when accessing the review step","",""
"","719","should not allow going back to protected page via browser back button after logout","Logout","2026-08-24","passed","2026-08-24","","Succesfull logout","",""
"","537","should not login with empty password","Login","2026-08-24","passed","2026-08-24","","when required fields are missing","",""
"","1479","should allow log in after logout with the same user","Logout","2026-08-24","passed","2026-08-24","","Succesfull logout","",""
"","2735","should display selected products with name, description, quantity and price correctly","Checkout Step 2 - Order Review","2026-08-24","passed","2026-08-24","","when accessing the review step","",""
"","520","should display correct quantity of products in carts badge after removal","Catalog actions","2026-08-24","passed","2026-08-24","","when products are removed from cart","",""
"","1185","subtotal should be equal to item price","Checkout Step 2 - Order Review","2026-08-24","passed","2026-08-24","","when accessing the review step","",""
"","1914","should add product when clicking Add to cart button","Catalog actions","2026-08-24","passed","2026-08-24","","when products are added to cart","",""
